STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
545110,99999, 20160701,   80.3,24,   59.2,24, 9999.9, 0, 9999.9, 0,   5.3, 7,   4.8,24,  11.7, 999.9,   91.4*,  68.0*, 0.00G,999.9, 000000,
545110,99999, 20160702,   81.8,24,   63.1,24, 9999.9, 0, 9999.9, 0,   3.9, 8,   4.6,24,  11.7,  15.5,   93.2*,  69.6 , 0.00I,999.9, 000000,
545110,99999, 20160703,   82.2,24,   67.3,24, 9999.9, 0, 9999.9, 0,   2.6,13,   5.2,24,  11.7, 999.9,   89.6*,  74.3 , 0.04G,999.9, 010000,
545110,99999, 20160704,   80.9,24,   66.8,24, 9999.9, 0, 9999.9, 0,   3.4,21,   4.7,24,   9.7, 999.9,   89.6*,  71.6*, 0.00I,999.9, 000000,
545110,99999, 20160705,   81.3,24,   63.5,24, 9999.9, 0, 9999.9, 0,   4.0, 9,   4.9,24,   9.7,  15.5,   91.4*,  71.6*, 0.00I,999.9, 000000,
545110,99999, 20160706,   83.7,24,   64.1,24, 9999.9, 0, 9999.9, 0,   3.9,10,   5.0,24,   9.7, 999.9,   93.2*,  72.0 , 0.00I,999.9, 000000,
545110,99999, 20160707,   83.4,24,   67.6,24, 9999.9, 0, 9999.9, 0,   3.7,17,   5.7,24,  11.7, 999.9,   93.2*,  73.9 , 0.00I,999.9, 000000,
545110,99999, 20160708,   83.2,24,   71.4,24, 9999.9, 0, 9999.9, 0,   3.6,18,   4.6,24,   7.8, 999.9,   91.4*,  74.8 , 0.00I,999.9, 000000,
545110,99999, 20160709,   86.7,24,   72.4,24, 9999.9, 0, 9999.9, 0,   3.6,15,   5.1,24,  11.7, 999.9,   96.8*,  77.0*, 0.00I,999.9, 000000,
545110,99999, 20160710,   89.0,24,   70.1,24, 9999.9, 0, 9999.9, 0,   2.8, 9,   6.3,24,  11.7,  17.5,   98.6*,  77.9 , 0.00I,999.9, 000000,
545110,99999, 20160711,   89.6,24,   69.9,24, 9999.9, 0, 9999.9, 0,   3.9, 8,   7.2,24,  13.6,  23.3,   96.8*,  79.3 , 0.00I,999.9, 000000,
545110,99999, 20160712,   77.5,24,   69.9,24, 9999.9, 0, 9999.9, 0,   5.3, 9,   5.4,24,  11.7, 999.9,   84.2*,  71.6*, 0.02G,999.9, 010000,
545110,99999, 20160713,   88.2,24,   61.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.9,24,   9.7, 999.9,   98.6*,  73.2 , 0.00I,999.9, 000000,
545110,99999, 20160714,   79.7,24,   65.0,24, 9999.9, 0, 9999.9, 0,   3.9,13,   5.1,24,  11.7,  21.4,   91.4*,  68.7*, 0.35G,999.9, 010000,
545110,99999, 20160715,   71.1,24,   65.4,24, 9999.9, 0, 9999.9, 0,   6.4, 9,   5.3,24,   7.8, 999.9,   74.3*,  68.7 , 0.00G,999.9, 010000,
545110,99999, 20160716,   75.1,24,   64.0,24, 9999.9, 0, 9999.9, 0,   5.7, 4,   3.8,24,   7.8, 999.9,   80.6*,  70.3 , 0.00G,999.9, 010000,
545110,99999, 20160717,   79.7,24,   67.9,24, 9999.9, 0, 9999.9, 0,   4.0,24,   3.9,24,   5.8, 999.9,   86.9*,  73.4*, 0.00I,999.9, 000000,
